"","rw_index","perc_corr"
"1",1,0.693333333333333
"2",2,0.713333333333333
"3",1,0.546666666666667
"4",1,0.726666666666667
"5",3,0.636666666666667
"6",1,0.603333333333333
"7",1,0.663333333333333
"8",1,0.66
"9",3,0.573333333333333
"10",1,0.626666666666667
"11",1,0.393333333333333
"12",3,0.703333333333333
"13",2,0.67
"14",1,0.643333333333333
"15",2,0.71
"16",2,0.73
"17",2,0.65
"18",1,0.606666666666667
"19",1,0.313333333333333
"20",1,0.693333333333333
"21",1,0.67
"22",1,0.566666666666667
"23",1,0.646666666666667
