"accuracy","beta","rho","alpha_h","phi","agent"
0.818105,0.120443061721433,9.08825735502969,0.612200205659502,-1.13493189860226,"RNN"
0.79738,0.128001716177072,18.3071269202363,0.704384464738636,0.376854884688594,"RNN"
0.832376666666667,0.170038939919404,13.3447345606981,0.609655738813968,0.0790040983867253,"RNN"
0.840585,0.119962158826755,14.21665081436,0.801397377576716,-0.769493240068299,"RNN"
0.81426,0.10923088376031,14.0879094105166,0.501160365316197,-0.818241618534438,"RNN"
0.82036,0.138292953587194,22.371495266287,0.618203870791901,0.758628054581684,"RNN"
0.770841666666667,0.0971094266840841,23.4016573829299,0.631762259086221,-0.183666238041455,"RNN"
0.759208333333333,0.111548696942054,15.8487694422181,0.580987810894447,-0.320193762450154,"RNN"
0.822441666666667,0.108368090611995,18.7073367942583,0.832565582479637,-0.429840026602718,"RNN"
0.811265,0.0929773593690305,19.366958894483,0.530232304898887,-1.29178766744341,"RNN"
0.699525,0.0745960363046133,16.8953627031403,0.479753281267468,-2.21644101423149,"RNN"
0.791138333333333,0.122256067709023,10.7613395716356,0.494515527008121,-0.802508589853912,"RNN"
0.818916666666667,0.156998188998149,13.801427229132,0.882980073292761,0.393468693504371,"RNN"
0.791871666666667,0.110147380043498,19.6517481828824,0.46422285164696,-0.288854151319607,"RNN"
0.775933333333333,0.0893124493329657,17.8802787845766,0.587741113167583,-1.48817381480855,"RNN"
0.778636666666667,0.116020671537818,20.0126475406826,0.477855386919263,-0.0323953665121512,"RNN"
0.811326666666667,0.167541953745916,6.00136256560294,0.77918113893245,-0.940566579440571,"RNN"
0.794913333333333,0.130755365753689,12.1961712287513,0.86561776211665,-0.799137077116276,"RNN"
0.794441666666667,0.111941497393516,22.4342133150416,0.645665466728813,0.629688394607985,"RNN"
0.754715,0.117863476992471,21.4638001370663,0.475523123984788,0.464055911802985,"RNN"
0.835831666666667,0.107233532268732,17.8459660170223,0.513993607422583,-1.00761184923551,"RNN"
0.714831666666667,0.0891192840669873,15.0123819598507,0.844252354350749,-0.999816477683726,"RNN"
0.75965,0.101404036511974,18.8303803906717,0.693431478584777,0.055279039120519,"RNN"
0.760226666666667,0.0844565640944522,20.7820078240708,0.474027523788961,-1.06335891077993,"RNN"
0.757471666666667,0.137335684713178,16.786518663784,0.660373029332496,0.592956225233126,"RNN"
0.76319,0.0896579113093079,20.9609692454895,0.605313755697207,-1.29341227371526,"RNN"
0.774776666666667,0.089468134472295,25.8407547072076,0.591972902418454,-0.573663831317727,"RNN"
0.6898,0.0879452156176582,21.2421390463408,0.606908223140439,-0.282972745448423,"RNN"
0.890253333333333,0.188949562085733,15.4351418783225,0.621186128095945,-0.179109585557482,"RNN"
