,switch_axis,value_axis
0,-11.427658582286437,0.12192600911725746
1,-12.1916744898608,0.4466105526553091
2,-12.029283391948475,0.6056537531850976
3,-13.719575249174724,0.6968464690091141
4,-12.963888768520448,0.708278535815885
5,-9.447480051236928,0.586126194947735
6,-8.857709828804083,0.625352347116312
7,-9.187576529552501,0.648120638207115
8,-8.685424126461644,0.6754283888385665
9,-8.473741953826138,0.7687513008477869
10,-8.844621830584078,0.7574043305965046
11,-8.182830919843747,0.7372484134070398
12,-7.522494428910846,0.6236210389886762
13,-7.758131014858663,0.612193512689687
14,-7.445274155162656,0.7145673278793294
15,-7.409503766963814,0.6429919896596754
16,-7.489966932949859,0.6492547421646477
17,-6.86265718287204,0.5568108240929496
18,-6.747102231978904,0.5139610016555324
19,-6.864993009948847,0.6148580164913989
20,-6.272944046168947,0.4825884327248898
21,-6.546057346743861,0.5606459318292111
22,-5.654873421775585,0.4625434502617676
23,-6.214867493261168,0.605613412174808
24,-5.899727981756786,0.5292188889322802
25,-5.54685473939836,0.44599684495863545
26,-5.2702812787793345,0.4044128159511463
27,-4.197966634305766,0.3734497176957977
28,-4.092237735918252,0.4335926659012652
29,-2.950342231173452,0.2878779792611971
30,-3.1355550343396086,0.3607519961272554
31,-2.846911912261484,0.3538117923322368
32,-3.115915943097521,0.36904430831280793
33,-2.8099305494856592,0.3622232475946345
34,-2.867990415730677,0.34724358759123974
35,-1.2435071686849803,0.1938173948988131
36,-1.9750464694797252,0.24571113736308187
37,-1.4697278983708095,0.27935884856594495
38,-0.5848701454272671,0.20459326876163586
39,-1.03286581243565,0.2034561646382306
40,-0.49529521323180603,0.16575559456456798
41,-0.16007630073272772,0.13118348943672148
42,-0.25978070132515185,0.17636121697619758
43,3.976376287017934,0.00978767068755182
44,3.769309060523171,0.22666490494451608
45,4.632839141497022,0.005675828133675842
46,0.3104207441678195,0.13752430815484099
47,-0.9192860836141112,0.11342545346431884
48,-1.6382534580737889,0.13255016284545212
49,-1.4391187110663615,0.18165336264113224
50,-1.5398795481290866,0.29169248233258316
51,0.5958380629556794,0.2842596542415824
52,-1.4345144617555827,0.1955979301557686
53,-0.5793239016089995,0.12128526756590763
54,-0.39844495209218334,0.2853475727591574
55,0.07188365385854745,0.13312980157320742
56,-0.8860021309645734,0.2304086091656779
57,-0.9711695787779204,0.2773155115216904
58,0.8917861245049767,0.3441102785274646
59,0.09474357687065016,0.19413767670607499
60,0.47851043700081597,0.33392060709789784
61,-1.2282689574812395,0.3004447418479844
62,-2.708950855338517,0.2881629306130928
63,-1.9786961847412439,0.20962025563237768
64,-1.9574236916781054,0.12962658313857836
65,-0.7487760488814859,0.15734967450908802
66,-3.3288013578272313,0.43455792180405106
67,-3.570888299734362,0.437259120889938
68,-4.092083025940153,0.44456232627209413
69,-3.3082865602243814,0.36442985964870345
70,-3.8776533083107028,0.3884293308582466
71,-1.4618302039794369,0.25645165686431076
72,-2.918917602528594,0.3780336903069932
73,-3.7842727594961634,0.3791064727588053
74,-0.7783890100947257,0.16201869920607187
75,0.5617092860259305,0.28777617803989414
76,1.1379723390962475,0.09514896120530242
77,-1.625237779008324,0.454131726423468
78,-2.48047021411829,0.30463420998776664
79,-3.1813880886766537,0.3615799116636984
80,-3.9378599721518657,0.34479042883635685
81,-1.877558592688461,0.19913023229604146
82,-2.0877802525307647,0.22803376743940326
83,-2.203941399249502,0.1678558292597396
84,0.019316522720449925,0.15677845115517153
85,-1.0963122677451675,0.1697854621069952
86,-1.3309946180895262,0.1966948708907461
87,-2.304065798219685,0.24920706696644826
88,-2.352108740441252,0.2518740844500137
89,-5.046600416811224,0.4212797113907189
90,-6.786960118234547,0.46472541729412514
91,-5.784873609667344,0.3778093325151667
92,-5.934619922267405,0.32720702282831227
93,-3.9618724765824043,0.3282553934203003
94,-2.939064834666857,0.0743066944904755
95,-1.2458234546529918,0.17565059693905355
96,-0.8687604168159555,0.10282403032718099
97,-0.5345969409010634,0.1366357785636134
98,0.3064518091939581,0.08917081415626937
99,0.7776546742708312,0.01818031265351322
100,-3.3493515066752044,0.11893054543682555
101,-0.9785049535375929,0.21171611797796613
102,-4.35531875935236,0.20341980040705282
103,-1.302723744522611,0.12356055926148793
104,-1.7194729766932326,0.13678423955072483
105,-0.031753182207685526,0.23130761814961914
106,0.7868065359592391,0.02659760720482557
107,-0.4350481491915401,0.0353193507576674
108,1.9220845782228366,-0.01219039225382007
109,4.810526329920218,-0.12193799130973804
110,2.957155044927834,-0.08108095338883697
111,3.810309533287744,-0.17572392310394075
112,-1.7869075149808618,0.18629215265401994
113,-1.1405809329177843,0.21305374717700648
114,-3.7551163610063174,0.12801083948834313
115,-5.804410232627523,0.12847799923400394
116,-4.804229932615268,-0.024876124875563677
117,-4.230636041501209,0.2568362183162547
118,-6.541347735040778,0.27008015329952456
119,-7.232596822109452,0.25174400759861887
120,-6.127435920415237,0.11987545073985476
121,-5.93087414164639,0.12491068052353332
122,-6.355931484632953,0.08238512979801277
123,-4.331183296438438,-0.035836038033821904
124,-4.8622943281379625,0.10428687815796858
125,-4.153838905467695,0.07513544297746214
126,-2.749798083892804,0.1705332195154351
127,-1.8183846993723138,0.09839938848164989
128,-3.6687661475913798,0.22754317798778212
129,-2.8624715383670827,0.2602859761656625
130,-2.206584829234946,0.20853973551224703
131,-2.3938424277988535,0.19258829908660094
132,-2.977282002324366,0.2542139652998243
133,-4.165966187807317,0.40330671245928085
134,-6.52865058206271,0.4655025496368189
135,-5.623319591647837,0.483228114290421
136,-7.2647722673615736,0.46093129901892105
