"","switch_prob","type"
"1",0.190635451505017,"RNN"
"2",0.284280936454849,"RNN"
"3",0.297658862876254,"RNN"
"4",0.22742474916388,"RNN"
"5",0.193979933110368,"RNN"
"6",0.247491638795987,"RNN"
"7",0.187290969899666,"RNN"
"8",0.193979933110368,"RNN"
"9",0.204013377926421,"RNN"
"10",0.180602006688963,"RNN"
"11",0.190635451505017,"RNN"
"12",0.234113712374582,"RNN"
"13",0.197324414715719,"RNN"
"14",0.127090301003344,"RNN"
"15",0.214046822742475,"RNN"
"16",0.204013377926421,"RNN"
"17",0.147157190635452,"RNN"
"18",0.244147157190635,"RNN"
"19",0.260869565217391,"RNN"
"20",0.331103678929766,"RNN"
"21",0.25752508361204,"RNN"
"22",0.260869565217391,"RNN"
"23",0.250836120401338,"RNN"
"24",0.280936454849498,"RNN"
"25",0.20066889632107,"RNN"
"26",0.17056856187291,"RNN"
"27",0.220735785953177,"RNN"
"28",0.20066889632107,"RNN"
"29",0.237458193979933,"RNN"
"30",0.17056856187291,"RNN"
"31",0.321070234113712,"RNN"
"32",0.17056856187291,"RNN"
"33",0.331103678929766,"RNN"
"34",0.217391304347826,"RNN"
"35",0.193979933110368,"RNN"
"36",0.22742474916388,"RNN"
"37",0.214046822742475,"RNN"
"38",0.183946488294314,"RNN"
"39",0.193979933110368,"RNN"
"40",0.220735785953177,"RNN"
"41",0.193979933110368,"RNN"
"42",0.180602006688963,"RNN"
"43",0.240802675585284,"RNN"
"44",0.11371237458194,"RNN"
"45",0.197324414715719,"RNN"
"46",0.237458193979933,"RNN"
"47",0.207357859531773,"RNN"
"48",0.307692307692308,"RNN"
"49",0.207357859531773,"RNN"
"50",0.217391304347826,"RNN"
"51",0.267558528428094,"RNN"
"52",0.237458193979933,"RNN"
"53",0.147157190635452,"RNN"
"54",0.311036789297659,"RNN"
"55",0.230769230769231,"RNN"
"56",0.230769230769231,"RNN"
"57",0.220735785953177,"RNN"
"58",0.264214046822742,"RNN"
"59",0.304347826086957,"RNN"
"60",0.247491638795987,"RNN"
"61",0.177257525083612,"RNN"
"62",0.120401337792642,"RNN"
"63",0.180602006688963,"RNN"
"64",0.311036789297659,"RNN"
"65",0.307692307692308,"RNN"
"66",0.337792642140468,"RNN"
"67",0.267558528428094,"RNN"
"68",0.337792642140468,"RNN"
"69",0.247491638795987,"RNN"
"70",0.250836120401338,"RNN"
"71",0.250836120401338,"RNN"
"72",0.20066889632107,"RNN"
"73",0.264214046822742,"RNN"
"74",0.327759197324415,"RNN"
"75",0.217391304347826,"RNN"
"76",0.264214046822742,"RNN"
"77",0.173913043478261,"RNN"
"78",0.234113712374582,"RNN"
"79",0.247491638795987,"RNN"
"80",0.264214046822742,"RNN"
"81",0.287625418060201,"RNN"
"82",0.342809364548495,"RNN"
"83",0.210702341137124,"RNN"
"84",0.260869565217391,"RNN"
"85",0.127090301003344,"RNN"
"86",0.1438127090301,"RNN"
"87",0.237458193979933,"RNN"
"88",0.270903010033445,"RNN"
"89",0.140468227424749,"RNN"
"90",0.284280936454849,"RNN"
"91",0.37123745819398,"Human"
"92",0.424749163879599,"Human"
"93",0.354515050167224,"Human"
"94",0.341137123745819,"Human"
"95",0.290969899665552,"Human"
"96",0.274247491638796,"Human"
"97",0.354515050167224,"Human"
"98",0.361204013377926,"Human"
"99",0.367892976588629,"Human"
"100",0.337792642140468,"Human"
"101",0.394648829431438,"Human"
"102",0.254180602006689,"Human"
"103",0.140468227424749,"Human"
"104",0.337792642140468,"Human"
"105",0.120401337792642,"Human"
"106",0.585284280936455,"Human"
"107",0.384615384615385,"Human"
"108",0.461538461538462,"Human"
"109",0.177257525083612,"Human"
"110",0.411371237458194,"Human"
"111",0.324414715719064,"Human"
"112",0.264214046822742,"Human"
"113",0.250836120401338,"Human"
"114",0.581939799331104,"Human"
"115",0.311036789297659,"Human"
"116",0.652173913043478,"Human"
"117",0.304347826086957,"Human"
"118",0.357859531772575,"Human"
"119",0.414715719063545,"Human"
"120",0.277591973244147,"Human"
"121",0.404682274247492,"Human"
